Date,Time,Name,Team,Enemy,Duration,Win,Spell1,Spell2,Kills,Deaths,Assists,CS,Gold,Item1,Item2,Item3,Item4,Item5,Item6,Team Ban 1,Team Ban 2,Team Ban 3,Enemy Ban 1,Enemy Ban 2,Enemy Ban 3
7/25/2013,13:00,Evaniskus,Velocity eSports,Cloud 9,(26:41),0,Ignite,Flash,0,3,1,23,5.1k,Boots of Mobility - Homeguard,Ruby Sightstone,Empty,Empty,Empty,Empty,Zed,Jayce,Elise,Lee Sin,Shen,Kayle
7/25/2013,13:00,Balls,Cloud 9,Velocity eSports,(26:41),1,Ignite,Flash,5,0,11,147,10.1k,Rylai's Crystal Scepter,Needlessly Large Rod,Sorcerer's Shoes,Doran's Shield,Haunting Guise,Seeker's Armguard,Lee Sin,Shen,Kayle,Zed,Jayce,Elise
7/25/2013,13:00,Meteos,Cloud 9,Velocity eSports,(26:41),1,Smite,Flash,2,0,12,106,8.7k,Spirit of the Ancient Golem,Ninja Tabi,Sight Ward,Runic Bulwark,Kindlegem,Cloth Armor,Lee Sin,Shen,Kayle,Zed,Jayce,Elise
7/25/2013,13:00,Hai,Cloud 9,Velocity eSports,(26:41),1,Ignite,Flash,5,0,11,216,11.4k,Doran's Blade,Abyssal Scepter,Sorcerer's Shoes,Zhonya's Hourglass,Haunting Guise,Empty,Lee Sin,Shen,Kayle,Zed,Jayce,Elise
7/25/2013,13:00,Sneaky,Cloud 9,Velocity eSports,(26:41),1,Flash,Barrier,5,2,10,170,10.7k,Doran's Blade,Doran's Blade,Berserker's Greaves,Infinity Edge,Statikk Shiv,Pickaxe,Lee Sin,Shen,Kayle,Zed,Jayce,Elise
7/25/2013,13:00,LemonNation,Cloud 9,Velocity eSports,(26:41),1,Ignite,Flash,2,3,13,18,7.8k,Boots of Mobility,Ruby Sightstone,Shurelya's Reverie,Oracle's Elixir,Empty,Empty,Lee Sin,Shen,Kayle,Zed,Jayce,Elise
7/25/2013,14:00,KiWiKiD,Team Dignitas,Team SoloMid,(41:57),0,Flash,Ignite,3,6,7,297,13k,Blade of the Ruined King,Zephyr,Warden's Mail,Ninja Tabi,Doran's Shield,Guardian Angel,Thresh,Karthus,Shen,Lee Sin,Master Yi,Elise
7/25/2013,14:00,Crumbzz,Team Dignitas,Team SoloMid,(41:57),0,Smite,Flash,2,6,8,144,9.2k,Locket of the Iron Solari,Ninja Tabi,Runic Bulwark,Spirit of the Ancient Golem,Empty,Empty,Thresh,Karthus,Shen,Lee Sin,Master Yi,Elise
7/25/2013,14:00,Scarra,Team Dignitas,Team SoloMid,(41:57),0,Flash,Teleport,5,2,9,165,10.6k,Seraph's Embrace,Void Staff,Sorcerer's Shoes,Rod of Ages,Doran's Shield,Empty,Thresh,Karthus,Shen,Lee Sin,Master Yi,Elise
7/25/2013,14:00,Imaqtpie,Team Dignitas,Team SoloMid,(41:57),0,Flash,Barrier,3,2,6,328,13.5k,Statikk Shiv,Berserker's Greaves - Homeguard,The Bloodthirster,Last Whisper,B.F. Sword,Cloak of Agility,Thresh,Karthus,Shen,Lee Sin,Master Yi,Elise
